Name	Major_Name	Marker	Ensembl	Major_Coefficient	Minor_Coefficient	Queried	Queried_Marker	Queried_Name	Queried_Major_Name
AC	AC	Anks1b	Anks1b	0.450539338721608		Queried	Anks1b	AC	AC
AC	AC	Asic2	Asic2	0.561310625111394		Queried	Asic2	AC	AC
AC	AC	Dlgap1	Dlgap1	0.343128874575217		Queried	Dlgap1	AC	AC
AC	AC	Frmd5	Frmd5	0.557746911743207		Queried	Frmd5	AC	AC
AC	AC	Gria4	Gria4	0.500283671363936		Queried	Gria4	AC	AC
AC	AC	Nckap5	Nckap5	0.364319547548068		Queried	Nckap5	AC	AC
AC	AC	Prkg1	Prkg1	0.348292893718024		Queried	Prkg1	AC	AC
AC	AC	Ptprk	Ptprk	0.389844651770014		Queried	Ptprk	AC	AC
AC	AC	Synpr	Synpr	0.593647290678456		Queried	Synpr	AC	AC
AC	AC	Tfap2b	Tfap2b	0.48569023549021		Queried	Tfap2b	AC	AC
ASTROCYTE	Astrocyte	Aldoc	Aldoc	0.171527479064706		Queried	Aldoc	Astrocyte	Astrocyte
ASTROCYTE	Astrocyte	Atf3	Atf3	0.227011460811078		Queried	Atf3	Astrocyte	Astrocyte
ASTROCYTE	Astrocyte	Ccn1	Ccn1	0.217148578047728		Queried	Ccn1	Astrocyte	Astrocyte
ASTROCYTE	Astrocyte	Creb5	Creb5	0.320151515816746		Queried	Creb5	Astrocyte	Astrocyte
ASTROCYTE	Astrocyte	Csrp1	Csrp1	0.163521278797417		Queried	Csrp1	Astrocyte	Astrocyte
ASTROCYTE	Astrocyte	Dnajb1	Dnajb1	0.177772691105202		Queried	Dnajb1	Astrocyte	Astrocyte
ASTROCYTE	Astrocyte	Eftud2	Eftud2	0.405606413104073		Queried	Eftud2	Astrocyte	Astrocyte
ASTROCYTE	Astrocyte	Egr1	Egr1	0.187336338757857		Queried	Egr1	Astrocyte	Astrocyte
ASTROCYTE	Astrocyte	Fos	Fos	0.308281780357156		Queried	Fos	Astrocyte	Astrocyte
ASTROCYTE	Astrocyte	Fosb	Fosb	0.296571654585741		Queried	Fosb	Astrocyte	Astrocyte
ASTROCYTE	Astrocyte	Gfap	Gfap	0.260365753793428		Queried	Gfap	Astrocyte	Astrocyte
ASTROCYTE	Astrocyte	Hspa1a	Hspa1a	0.427581810986405		Queried	Hspa1a	Astrocyte	Astrocyte
ASTROCYTE	Astrocyte	Junb	Junb	0.169427141314122		Queried	Junb	Astrocyte	Astrocyte
ASTROCYTE	Astrocyte	Mlc1	Mlc1	0.157676080618819		Queried	Mlc1	Astrocyte	Astrocyte
ASTROCYTE	Astrocyte	Ppp1r15a	Ppp1r15a	0.160868726332073		Queried	Ppp1r15a	Astrocyte	Astrocyte
ASTROCYTE	Astrocyte	S100b	S100b	0.2426588003663		Queried	S100b	Astrocyte	Astrocyte
ASTROCYTE	Astrocyte	Vcl	Vcl	0.290678286827832		Queried	Vcl	Astrocyte	Astrocyte
ASTROCYTE	Astrocyte	Wwtr1	Wwtr1	0.18778548592486		Queried	Wwtr1	Astrocyte	Astrocyte
ASTROCYTE	Astrocyte	Zswim6	Zswim6	0.164042104051846		Queried	Zswim6	Astrocyte	Astrocyte
BC	BC	Gm20754	Gm20754	0.523315412655646		Queried	Gm20754	BC	BC
BC	BC	Grik1	Grik1	0.509868896756999		Queried	Grik1	BC	BC
BC	BC	Grm5	Grm5	0.428825996414679		Queried	Grm5	BC	BC
BC	BC	Pcdh9	Pcdh9	0.782237267589547		Queried	Pcdh9	BC	BC
BC	BC	Ptprz1	Ptprz1	0.381056143056733		Queried	Ptprz1	BC	BC
BC	BC	Samsn1	Samsn1	0.761385887793414		Queried	Samsn1	BC	BC
BC	BC	Scg2	Scg2	0.422446597699077		Queried	Scg2	BC	BC
BC	BC	Slit2	Slit2	0.527345751492204		Queried	Slit2	BC	BC
BC	BC	Tenm3	Tenm3	0.398561820972073		Queried	Tenm3	BC	BC
BC	BC	Trpm1	Trpm1	0.555139303251236		Queried	Trpm1	BC	BC
BC	BC	Ttyh1	Ttyh1	0.407481171621692		Queried	Ttyh1	BC	BC
BC	BC	Zfp804b	Zfp804b	0.803363563164423		Queried	Zfp804b	BC	BC
CONE	Cone	Arr3	Arr3	0.455200124930871		Queried	Arr3	Cone	Cone
CONE	Cone	Cdh18	Cdh18	0.275523153965949		Queried	Cdh18	Cone	Cone
CONE	Cone	Cngb3	Cngb3	0.30850111852548		Queried	Cngb3	Cone	Cone
CONE	Cone	Gm32442	Gm32442	0.118205895388091		Queried	Gm32442	Cone	Cone
CONE	Cone	Gnat2	Gnat2	0.248644145749054		Queried	Gnat2	Cone	Cone
CONE	Cone	Gnb3	Gnb3	0.160683664981772		Queried	Gnb3	Cone	Cone
CONE	Cone	Gngt2	Gngt2	0.270211011276182		Queried	Gngt2	Cone	Cone
CONE	Cone	Lrfn2	Lrfn2	0.131035941235858		Queried	Lrfn2	Cone	Cone
CONE	Cone	Opn1mw	Opn1mw	0.383761363250839		Queried	Opn1mw	Cone	Cone
CONE	Cone	Opn1sw	Opn1sw	0.237587899781542		Queried	Opn1sw	Cone	Cone
CONE	Cone	Pals2	Pals2	0.106552564636478		Queried	Pals2	Cone	Cone
CONE	Cone	Pcdh15	Pcdh15	0.196852481853053		Queried	Pcdh15	Cone	Cone
CONE	Cone	Pde6c	Pde6c	0.266707091150841		Queried	Pde6c	Cone	Cone
CONE	Cone	Pde6h	Pde6h	0.453944207027417		Queried	Pde6h	Cone	Cone
CONE	Cone	Rbp3	Rbp3	0.155754855969701		Queried	Rbp3	Cone	Cone
